Key,Sub-Key,Value
"GODREJ AND BOYCE MANUFACTURING COMPANY LIMITED - Related Party Transactions - FY Ending On 31 Mar, 2024",Revenue,"{
  ""VEROMATIC INTERNATIONAL BV"": ""11,237,900.00""
}"
"GODREJ AND BOYCE MANUFACTURING COMPANY LIMITED - Related Party Transactions - FY Ending On 31 Mar, 2024",Expense,"{
  ""VEROMATIC INTERNATIONAL BV"": ""799,842.00""
}"
"GODREJ AND BOYCE MANUFACTURING COMPANY LIMITED - Related Party Transactions - FY Ending On 31 Mar, 2024",Others,"{
  ""VEROMATIC INTERNATIONAL BV"": ""309,851,105.00""
}"
